item,qty,required,part_or_spec,example_source,unit_usd,extended_usd,notes
MCU1,1,yes,"Seeed Studio XIAO ESP32-C3","https://www.seeedstudio.com/Seeed-XIAO-ESP32C3-p-5431.html",4.99,4.99,"USB-C, Wi-Fi, 380 mA 1S charger"
DISP1,1,yes,"Waveshare 0.49in OLED, 64x32, SSD1315, white, SKU 26783","https://www.waveshare.com/0.49inch-oled-module.htm",5.99,5.99,"Includes MX1.25 four-wire cable"
LENSB,1,yes,"Budget reference: 25 mm diameter / 45 mm focal-length biconvex acrylic lens","https://pgi-shop.de/en/acrylglas-linse-oe-25-mm-f-45-mm/",1.72,1.72,"EUR 1.50 converted at 1 EUR = 1.1467 USD; available on 2026-07-17; shipping unresolved"
COMB1,1,yes,"30x30x1.1 mm 50R/50T plate beamsplitter specified at 45 degrees","https://www.ebay.com/itm/353187332336",18.89,18.89,"Active exact-size listing showed free worldwide shipping on 2026-07-17; marketplace availability changes"
BAT1,1,yes,"Protected PKCELL LP503035 1S 3.7 V 500 mAh LiPo","https://www.tinytronics.nl/en/power/batteries/li-po/pkcell-li-po-battery-3-7v-500mah-jst-ph-lp503035",5.45,5.45,"EUR 4.75 converted at 1 EUR = 1.1467 USD; 11 g, max 38x31x5.3 mm, 500 mA charge/discharge; listed 2-4 weeks on 2026-07-17"
SW1,1,yes,"Mini SPST slide switch rated >=1 A DC","generic",0.40,0.40,"Switch is ON while charging in the reference wiring"
BTN1,1,yes,"6 mm normally-open long-stem momentary push button","generic",0.15,0.15,"Measure body/stem before printing; actuator must protrude through the closed lid"
WIRE1,1,yes,"26-28 AWG flexible silicone power pair, 30 AWG signal wire, heat-shrink, battery pigtail","generic",1.50,1.50,"Use the heavier pair for a remote-cell tether; verify polarity and cable drop"
FAST1,1,yes,"4x M2x6, 4x M2x8, 1x M2x10, 1x M2x12, 1x M2.5x6, 1x M2.5x22-25, 1x M2.5x35, washers and nyloc nuts","generic",2.00,2.00,"Compact reference: split collar/lens plate, two pod lids, combiner ears, rail lock, hinge pivot, focus lock; two combiner washers <=5.0 mm OD; trim printed pilots; no screw may bear on battery, optics, or glasses"
STRAP1,4,yes,"6-8 mm reusable hook-and-loop strap","generic",0.25,1.00,"Two independent bands for the padded temple saddle and two for the local controller pod"
PAD1,1,yes,"1 mm TPU or silicone grip pad","generic",0.50,0.50,"Protects the glasses frame"
RETAIN1,1,yes,"Thin closed-cell foam, Kapton tape, and short silicone/TPU keeper loop scraps","generic",0.20,0.20,"Removable OLED retention/insulation plus positive deployed/parked hinge keeper; no pressure on display glass"
EDGE1,1,yes,"Soft 0.8 mm radial TPU or silicone combiner edge collar and optional vendor-compatible safety-film scrap","generic",0.35,0.35,"Use the one-piece liner pattern to cover all four edges/corners below both coated faces; never substitute rigid PETG/PLA; apply film only if the pane vendor permits it"
GROM1,1,yes,"Soft cable grommet / strain-relief scrap","generic",0.15,0.15,"Protects OLED and battery wiring at housing exits"
BLACK1,1,yes,"Matte-black paint or flocking-tape scrap","generic",0.30,0.30,"Suppresses internal reflections; keep off every optical surface"
PRINT1,1,yes,"Black PETG filament allowance, approximately 150 g","local print",3.00,3.00,"Covers the reference calibration and wearable parts at about USD 20/kg; slicer use and failed prototypes vary"
FLAG1,1,no,"Removable opaque black card/foam storage and contrast flag","generic",0.25,0.25,"Improves stationary indoor/shaded contrast and covers the positive lens during storage; remove before walking and keep off optical coatings"
DISC1,1,no,"Low-retention two- or four-contact inline battery connector","generic",0.40,0.40,"Mandatory for any body-tether walking experiment; prove off-head that it disconnects before the glasses mount; never infer safety from magnets"
MOS1,1,no,"AO3401A P-channel MOSFET plus 100k/10k resistors","generic",0.30,0.30,"Optional OLED hard-off for deep standby"
BAT500A,1,no,"Alternative protected Adafruit 500 mAh LiPo, product 1578","https://www.adafruit.com/product/1578",7.95,7.95,"Replacement for BAT1, not an add-on; checked 2026-07-18; 29x36x4.75 mm, 10.5 g, 500 mA quick-charge/max continuous; known required subtotal becomes USD 49.09 before shipping/tax"
BAT1200A,1,no,"Off-body protected Adafruit 1200 mAh LiPo, product 258","https://www.adafruit.com/product/258",9.95,9.95,"Replacement for BAT1, not an add-on; checked 2026-07-18; 34x62x5 mm, 23 g; 2.4x nominal capacity; known required subtotal becomes USD 51.09 before tether/shipping/tax"
MAG1,1,no,"Adafruit 5358 four-contact right-angle magnetic pair","https://www.adafruit.com/product/5358",6.50,6.50,"Out of stock when checked 2026-07-18; 2 A rating but release force/mass unspecified; convenience connector only until every-direction pull tests pass; subtotal USD 53.09 if added"
MAG3,1,no,"Adafruit 5360 three-contact right-angle magnetic pair","https://www.adafruit.com/product/5360",5.95,5.95,"In stock when checked 2026-07-18; 15x4 mm body, 2 A per contact, but release force/mass unspecified; compact convenience connector only until every-direction pull tests pass; subtotal USD 52.54 if added"
RET2,1,no,"Representative neoprene glasses retainer strap","https://www.lowes.com/pd/Skullerz-Plastic-Safety-Glasses/1001754310",2.59,2.59,"Optional secondary stability; checked 2026-07-18; not advertised as breakaway and can worsen snag loads; known subtotal USD 49.18"
